,Upper_xs,Upper_vs,Upper_ts,Upper_timestamps,Lower_xs,Lower_vs,Lower_ts,Lower_timestamps,Upper_absolute_ts,Lower_absolute_ts
0,39.222,0.0,0.0,2020-07-22 08:07:00.000,39.222,0.0,60.0,2020-07-22 08:08:00.000,420.0,480.0
1,39.221000000000004,7.558204304152577,0.9526072212717835,2020-07-22 08:07:00.952,39.221000000000004,7.558204304152577,60.95260722127178,2020-07-22 08:08:00.952,420.952,480.952
2,39.220000000000006,10.711785038683251,1.3466961210995516,2020-07-22 08:07:01.346,39.220000000000006,10.711785038683251,61.346696121099555,2020-07-22 08:08:01.346,421.346,481.346
3,39.21900000000001,13.23339078783162,1.6473829923151952,2020-07-22 08:07:01.647,39.21900000000001,13.23339078783162,61.647382992315194,2020-07-22 08:08:01.647,421.647,481.647
4,39.21800000000001,15.269265183219304,1.8999910302221183,2020-07-22 08:07:01.899,39.21800000000001,15.269265183219304,61.89999103022212,2020-07-22 08:08:01.899,421.899,481.899
5,39.21700000000001,17.120236696632144,2.1222852793492444,2020-07-22 08:07:02.122,39.21700000000001,17.120236696632144,62.12228527934924,2020-07-22 08:08:02.122,422.122,482.122
6,39.216000000000015,18.698847048206556,2.3232954461997766,2020-07-22 08:07:02.323,39.216000000000015,18.698847048206556,62.32329544619978,2020-07-22 08:08:02.323,422.323,482.323
7,39.21500000000002,20.277457399780968,2.5080230673007295,2020-07-22 08:07:02.508,39.21500000000002,20.277457399780968,62.508023067300726,2020-07-22 08:08:02.508,422.508,482.508
8,39.21400000000002,21.613604371368613,2.679897440867977,2020-07-22 08:07:02.679,39.21400000000002,21.613604371368613,62.679897440867975,2020-07-22 08:08:02.679,422.679,482.679
9,39.21300000000002,22.901270665295414,2.8416411275357043,2020-07-22 08:07:02.841,39.21300000000002,22.901270665295414,62.8416411275357,2020-07-22 08:08:02.841,422.841,482.841
10,39.212000000000025,24.18893695922221,2.9945391580008436,2020-07-22 08:07:02.994,39.212000000000025,24.18893695922221,62.99453915800084,2020-07-22 08:08:02.994,422.994,482.994
11,39.21100000000003,25.335552872105556,3.139921776267185,2020-07-22 08:07:03.139,39.21100000000003,25.335552872105556,63.13992177626719,2020-07-22 08:08:03.139,423.139,483.139
12,39.21000000000003,26.421822914618176,3.2790323839929747,2020-07-22 08:07:03.279,39.21000000000003,26.421822914618176,63.27903238399298,2020-07-22 08:08:03.279,423.279,483.279
13,39.20900000000003,27.5080929571308,3.4125389894381897,2020-07-22 08:07:03.412,39.20900000000003,27.5080929571308,63.41253898943819,2020-07-22 08:08:03.412,423.412,483.412
14,39.208000000000034,28.59307540429223,3.540878562575033,2020-07-22 08:07:03.540,39.208000000000034,28.59307540429223,63.54087856257503,2020-07-22 08:08:03.540,423.54,483.54
15,39.207000000000036,29.531674136667082,3.664750064075603,2020-07-22 08:07:03.664,39.207000000000036,29.531674136667082,63.664750064075605,2020-07-22 08:08:03.664,423.664,483.664
16,39.20600000000004,30.470272869041935,3.7847461701902625,2020-07-22 08:07:03.784,39.20600000000004,30.470272869041935,63.78474617019026,2020-07-22 08:08:03.784,423.784,483.784
17,39.20500000000004,31.408871601416788,3.9011020128832805,2020-07-22 08:07:03.901,39.20500000000004,31.408871601416788,63.90110201288328,2020-07-22 08:08:03.901,423.901,483.901
18,39.20400000000004,32.34747033379164,4.014031954932028,2020-07-22 08:07:04.014,39.20400000000004,32.34747033379164,64.01403195493202,2020-07-22 08:08:04.014,424.014,484.014
19,39.203000000000046,33.20005679600033,4.123875915722896,2020-07-22 08:07:04.123,39.203000000000046,33.20005679600033,64.12387591572289,2020-07-22 08:08:04.123,424.123,484.123
20,39.20200000000005,34.02574562240157,4.230977649595429,2020-07-22 08:07:04.230,39.20200000000005,34.02574562240157,64.23097764959543,2020-07-22 08:08:04.230,424.23,484.23
21,39.20100000000005,34.851434448802806,4.335511545909709,2020-07-22 08:07:04.335,39.20100000000005,34.851434448802806,64.33551154590971,2020-07-22 08:08:04.335,424.335,484.335
22,39.20000000000005,35.677123275204046,4.437597852965049,2020-07-22 08:07:04.437,39.20000000000005,35.677123275204046,64.43759785296506,2020-07-22 08:08:04.437,424.437,484.437
23,39.199000000000055,36.502812101605286,4.537348565713629,2020-07-22 08:07:04.537,39.199000000000055,36.502812101605286,64.53734856571363,2020-07-22 08:08:04.537,424.537,484.537
24,39.19800000000006,37.242685170105844,4.634981645241933,2020-07-22 08:07:04.634,39.19800000000006,37.242685170105844,64.63498164524194,2020-07-22 08:08:04.634,424.634,484.634
25,39.19700000000006,37.979247244794045,4.730698409872098,2020-07-22 08:07:04.730,39.19700000000006,37.979247244794045,64.7306984098721,2020-07-22 08:08:04.730,424.73,484.73
26,39.19600000000006,38.71580931948224,4.824576689940241,2020-07-22 08:07:04.824,39.19600000000006,38.71580931948224,64.82457668994024,2020-07-22 08:08:04.824,424.824,484.824
27,39.195000000000064,39.45237139417044,4.9166857800361,2020-07-22 08:07:04.916,39.195000000000064,39.45237139417044,64.9166857800361,2020-07-22 08:08:04.916,424.916,484.916
28,39.19400000000007,40.188933468858636,5.007091129526118,2020-07-22 08:07:05.007,39.19400000000007,40.188933468858636,65.00709112952612,2020-07-22 08:08:05.007,425.007,485.007
29,39.19300000000007,40.88111371278646,5.095903215497289,2020-07-22 08:07:05.095,39.19300000000007,40.88111371278646,65.09590321549729,2020-07-22 08:08:05.095,425.095,485.095
30,39.19200000000007,41.54553643424474,5.183253605051395,2020-07-22 08:07:05.183,39.19200000000007,41.54553643424474,65.18325360505139,2020-07-22 08:08:05.183,425.183,485.183
